scenario,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,mission_feasible,runtime_ms,route
random_131,ordinary_collection,1630.389,164.106,64.056,28.906,979.847,0,0,10.703,N14 -> N05 -> N11 -> N12 -> N04 -> N03 -> N13 -> N06 -> N09 -> N02 -> N01 -> N08 -> N07 -> N10
random_131,protocol_aware_time,1354.677,160.333,46.585,20.885,685.051,0,1,272.442,N04 -> N03 -> N10 -> N14 -> N06 -> N08 -> N13 -> N02 -> N12 -> N05 -> N11 -> N09 -> N07 -> N01
random_131,soft_penalty_w12,1223.682,76.859,36.386,11.861,621.278,1,1,396.217,N01 -> N12 -> N04 -> N03 -> N13 -> N06 -> N10 -> N02 -> N09 -> N07 -> N05 -> N11 -> N14 -> N08
random_131,average_gap,1272.488,69.064,40.059,11.123,661.901,1,1,796.092,N14 -> N08 -> N13 -> N03 -> N09 -> N04 -> N11 -> N07 -> N06 -> N02 -> N12 -> N01 -> N05 -> N10
random_131,freshness_focused,1192.091,67.591,35.538,10.038,447.121,1,1,835.883,N10 -> N07 -> N08 -> N06 -> N13 -> N01 -> N03 -> N05 -> N11 -> N02 -> N12 -> N04 -> N09 -> N14
random_131,bounded_beta90,1197.349,71.834,35.469,10.872,448.776,1,1,1727.043,N07 -> N10 -> N08 -> N06 -> N13 -> N01 -> N04 -> N03 -> N12 -> N02 -> N09 -> N05 -> N11 -> N14
random_132,distance_only,1682.199,220.113,70.641,41.307,627.807,0,0,0.024,N01 -> N10 -> N12 -> N14 -> N02 -> N03 -> N06 -> N04 -> N05 -> N11 -> N09 -> N08 -> N07 -> N13
random_132,ordinary_collection,1718.717,166.79,72.706,29.396,884.68,0,0,13.608,N10 -> N02 -> N03 -> N13 -> N06 -> N04 -> N05 -> N11 -> N09 -> N08 -> N07 -> N14 -> N12 -> N01
random_132,protocol_aware_time,1156.327,66.321,35.553,10.409,529.312,1,1,426.436,N01 -> N12 -> N09 -> N06 -> N14 -> N07 -> N08 -> N04 -> N13 -> N05 -> N03 -> N11 -> N10 -> N02
random_132,soft_penalty_w12,1237.504,89.027,39.683,13.764,664.373,1,1,260.913,N04 -> N09 -> N07 -> N06 -> N08 -> N12 -> N03 -> N14 -> N05 -> N11 -> N13 -> N02 -> N10 -> N01
random_132,average_gap,1157.573,66.251,34.298,9.58,531.787,1,1,944.851,N01 -> N13 -> N09 -> N07 -> N03 -> N06 -> N08 -> N04 -> N12 -> N05 -> N14 -> N11 -> N10 -> N02
random_132,freshness_focused,1297.339,106.321,44.137,17.718,472.027,0,1,1004.941,N01 -> N10 -> N12 -> N14 -> N08 -> N13 -> N02 -> N03 -> N04 -> N11 -> N06 -> N09 -> N07 -> N05
random_132,bounded_beta90,1156.146,57.651,35.093,8.997,564.004,1,1,2254.49,N10 -> N12 -> N09 -> N06 -> N14 -> N05 -> N13 -> N04 -> N08 -> N07 -> N03 -> N11 -> N01 -> N02
random_133,distance_only,2129.182,211.3,87.975,38.869,1167.048,0,0,0.028,N11 -> N07 -> N01 -> N03 -> N09 -> N10 -> N08 -> N14 -> N02 -> N06 -> N05 -> N04 -> N13 -> N12
random_133,ordinary_collection,1700.09,187.844,58.267,23.358,851.272,0,0,10.463,N07 -> N01 -> N03 -> N09 -> N12 -> N08 -> N10 -> N14 -> N02 -> N06 -> N05 -> N04 -> N13 -> N11
random_133,protocol_aware_time,1246.107,65.982,28.531,7.305,669.062,1,1,316.205,N12 -> N08 -> N09 -> N11 -> N13 -> N06 -> N05 -> N04 -> N03 -> N02 -> N14 -> N10 -> N01 -> N07
random_133,soft_penalty_w12,1421.274,89.528,41.475,12.088,633.813,1,1,192.784,N09 -> N06 -> N01 -> N13 -> N04 -> N08 -> N12 -> N05 -> N03 -> N02 -> N14 -> N10 -> N07 -> N11
random_133,average_gap,1246.107,65.982,28.531,7.305,669.062,1,1,720.602,N12 -> N08 -> N09 -> N11 -> N13 -> N06 -> N05 -> N04 -> N03 -> N02 -> N14 -> N10 -> N01 -> N07
random_133,freshness_focused,1457.847,99.022,43.314,13.784,512.381,0,1,731.743,N07 -> N01 -> N09 -> N12 -> N13 -> N04 -> N05 -> N06 -> N03 -> N02 -> N14 -> N08 -> N10 -> N11
random_133,bounded_beta90,1246.107,65.982,28.531,7.305,669.062,1,1,1594.693,N12 -> N08 -> N09 -> N11 -> N13 -> N06 -> N05 -> N04 -> N03 -> N02 -> N14 -> N10 -> N01 -> N07
random_134,distance_only,963.687,102.7,42.322,19.531,524.327,0,1,0.024,N04 -> N10 -> N09 -> N05 -> N07 -> N12 -> N08 -> N01 -> N14 -> N13 -> N03 -> N06 -> N11 -> N02
random_134,ordinary_collection,1083.957,150.729,50.121,30.33,560.052,0,1,12.14,N02 -> N06 -> N11 -> N14 -> N01 -> N13 -> N03 -> N08 -> N12 -> N07 -> N05 -> N09 -> N10 -> N04
random_134,protocol_aware_time,787.399,63.388,29.861,11.477,324.87,1,1,232.786,N04 -> N05 -> N08 -> N06 -> N01 -> N14 -> N13 -> N03 -> N07 -> N09 -> N12 -> N02 -> N11 -> N10
random_134,soft_penalty_w12,787.399,63.388,29.861,11.477,324.87,1,1,208.593,N04 -> N05 -> N08 -> N06 -> N01 -> N14 -> N13 -> N03 -> N07 -> N09 -> N12 -> N02 -> N11 -> N10
random_134,average_gap,787.399,63.388,29.84,10.97,323.69,1,1,643.152,N04 -> N05 -> N08 -> N13 -> N01 -> N14 -> N06 -> N03 -> N07 -> N09 -> N12 -> N02 -> N11 -> N10
random_134,freshness_focused,789.388,78.424,29.776,11.732,310.458,1,1,684.654,N04 -> N05 -> N08 -> N13 -> N01 -> N03 -> N06 -> N14 -> N02 -> N07 -> N09 -> N12 -> N11 -> N10
random_134,bounded_beta90,776.09,49.588,29.304,10.293,328.282,1,1,1510.257,N04 -> N05 -> N08 -> N13 -> N14 -> N01 -> N12 -> N03 -> N07 -> N02 -> N06 -> N09 -> N11 -> N10
random_135,distance_only,1883.329,187.346,64.873,27.418,1311.979,0,0,0.026,N04 -> N09 -> N08 -> N13 -> N06 -> N03 -> N07 -> N02 -> N11 -> N14 -> N01 -> N05 -> N12 -> N10
random_135,ordinary_collection,1780.66,172.908,56.018,20.466,874.603,0,0,9.775,N04 -> N10 -> N12 -> N05 -> N01 -> N14 -> N06 -> N03 -> N07 -> N02 -> N13 -> N11 -> N08 -> N09
random_135,protocol_aware_time,1497.132,108.48,37.837,11.272,985.396,0,1,170.999,N11 -> N04 -> N06 -> N03 -> N07 -> N10 -> N08 -> N02 -> N13 -> N14 -> N01 -> N05 -> N12 -> N09
random_135,soft_penalty_w12,1490.456,89.175,39.364,10.653,717.517,1,1,406.421,N03 -> N06 -> N14 -> N07 -> N12 -> N05 -> N01 -> N13 -> N02 -> N11 -> N09 -> N04 -> N08 -> N10
random_135,average_gap,1497.132,106.103,35.893,9.986,986.956,0,1,588.787,N10 -> N04 -> N06 -> N02 -> N07 -> N11 -> N08 -> N03 -> N13 -> N14 -> N01 -> N05 -> N12 -> N09
random_135,freshness_focused,1710.362,208.521,52.134,21.19,748.578,0,0,592.32,N13 -> N03 -> N07 -> N14 -> N01 -> N04 -> N06 -> N02 -> N05 -> N12 -> N10 -> N11 -> N08 -> N09
random_135,bounded_beta90,1356.964,44.192,26.934,4.699,675.359,1,1,1463.433,N13 -> N12 -> N10 -> N06 -> N09 -> N08 -> N14 -> N01 -> N05 -> N07 -> N03 -> N11 -> N02 -> N04
random_136,distance_only,1194.903,237.591,51.216,35.272,484.236,0,1,0.025,N10 -> N07 -> N05 -> N13 -> N12 -> N03 -> N06 -> N01 -> N04 -> N11 -> N09 -> N02 -> N14 -> N08
random_136,ordinary_collection,1442.247,158.234,68.204,30.918,845.922,0,1,10.803,N05 -> N13 -> N12 -> N08 -> N03 -> N06 -> N01 -> N04 -> N11 -> N09 -> N02 -> N14 -> N07 -> N10
random_136,protocol_aware_time,929.736,76.263,33.347,12.152,394.56,1,1,267.697,N04 -> N03 -> N01 -> N06 -> N02 -> N14 -> N09 -> N11 -> N13 -> N10 -> N12 -> N07 -> N05 -> N08
