scenario_seed,phase_error_s,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
705,2.0,distance_only,1421.629,2387.327,123.668,0,1,0.021,N10 -> N13 -> N02 -> N11 -> N05 -> N12 -> N14 -> N03 -> N09 -> N06 -> N08 -> N04 -> N07 -> N01
705,2.0,protocol_aware,1183.189,3367.157,81.075,1,1,436.263,N14 -> N04 -> N08 -> N05 -> N03 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N01 -> N11 -> N10
705,2.0,bounded_blackout,1155.92,3409.293,60.502,1,1,2062.725,N01 -> N03 -> N08 -> N05 -> N14 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N04 -> N10 -> N11
705,5.0,distance_only,1425.841,2387.327,121.432,0,1,0.021,N10 -> N13 -> N02 -> N11 -> N05 -> N12 -> N14 -> N03 -> N09 -> N06 -> N08 -> N04 -> N07 -> N01
705,5.0,protocol_aware,1682.062,3367.157,163.397,0,0,436.263,N14 -> N04 -> N08 -> N05 -> N03 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N01 -> N11 -> N10
705,5.0,bounded_blackout,1160.043,3409.293,59.983,1,1,2062.725,N01 -> N03 -> N08 -> N05 -> N14 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N04 -> N10 -> N11
705,10.0,distance_only,1426.266,2387.327,131.861,0,1,0.021,N10 -> N13 -> N02 -> N11 -> N05 -> N12 -> N14 -> N03 -> N09 -> N06 -> N08 -> N04 -> N07 -> N01
705,10.0,protocol_aware,1185.937,3367.157,86.771,1,1,436.263,N14 -> N04 -> N08 -> N05 -> N03 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N01 -> N11 -> N10
705,10.0,bounded_blackout,1627.403,3409.293,163.884,0,0,2062.725,N01 -> N03 -> N08 -> N05 -> N14 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N04 -> N10 -> N11
705,20.0,distance_only,1772.571,2387.327,211.933,0,0,0.021,N10 -> N13 -> N02 -> N11 -> N05 -> N12 -> N14 -> N03 -> N09 -> N06 -> N08 -> N04 -> N07 -> N01
705,20.0,protocol_aware,1678.428,3367.157,149.769,0,0,436.263,N14 -> N04 -> N08 -> N05 -> N03 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N01 -> N11 -> N10
705,20.0,bounded_blackout,1644.05,3409.293,102.922,0,0,2062.725,N01 -> N03 -> N08 -> N05 -> N14 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N04 -> N10 -> N11
705,30.0,distance_only,1722.819,2387.327,193.813,0,0,0.021,N10 -> N13 -> N02 -> N11 -> N05 -> N12 -> N14 -> N03 -> N09 -> N06 -> N08 -> N04 -> N07 -> N01
705,30.0,protocol_aware,1698.009,3367.157,181.95,0,0,436.263,N14 -> N04 -> N08 -> N05 -> N03 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N01 -> N11 -> N10
705,30.0,bounded_blackout,1614.068,3409.293,112.251,0,0,2062.725,N01 -> N03 -> N08 -> N05 -> N14 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N04 -> N10 -> N11
706,0.0,distance_only,1059.627,2614.178,121.383,0,1,0.022,N08 -> N04 -> N11 -> N09 -> N07 -> N12 -> N10 -> N01 -> N13 -> N14 -> N05 -> N06 -> N03 -> N02
706,0.0,protocol_aware,952.516,3902.346,110.107,0,1,194.016,N09 -> N01 -> N07 -> N14 -> N05 -> N13 -> N10 -> N02 -> N04 -> N11 -> N12 -> N06 -> N03 -> N08
706,0.0,bounded_blackout,790.23,3672.679,49.921,1,1,1378.111,N08 -> N03 -> N06 -> N09 -> N12 -> N14 -> N05 -> N07 -> N01 -> N13 -> N02 -> N04 -> N10 -> N11
706,2.0,distance_only,1057.853,2614.178,118.997,0,1,0.022,N08 -> N04 -> N11 -> N09 -> N07 -> N12 -> N10 -> N01 -> N13 -> N14 -> N05 -> N06 -> N03 -> N02
706,2.0,protocol_aware,954.196,3902.346,110.51,0,1,194.016,N09 -> N01 -> N07 -> N14 -> N05 -> N13 -> N10 -> N02 -> N04 -> N11 -> N12 -> N06 -> N03 -> N08
706,2.0,bounded_blackout,788.879,3672.679,49.921,1,1,1378.111,N08 -> N03 -> N06 -> N09 -> N12 -> N14 -> N05 -> N07 -> N01 -> N13 -> N02 -> N04 -> N10 -> N11
706,5.0,distance_only,1061.19,2614.178,125.898,0,1,0.022,N08 -> N04 -> N11 -> N09 -> N07 -> N12 -> N10 -> N01 -> N13 -> N14 -> N05 -> N06 -> N03 -> N02
706,5.0,protocol_aware,950.276,3902.346,110.21,0,1,194.016,N09 -> N01 -> N07 -> N14 -> N05 -> N13 -> N10 -> N02 -> N04 -> N11 -> N12 -> N06 -> N03 -> N08
706,5.0,bounded_blackout,794.576,3672.679,49.921,1,1,1378.111,N08 -> N03 -> N06 -> N09 -> N12 -> N14 -> N05 -> N07 -> N01 -> N13 -> N02 -> N04 -> N10 -> N11
706,10.0,distance_only,1049.66,2614.178,119.858,0,1,0.022,N08 -> N04 -> N11 -> N09 -> N07 -> N12 -> N10 -> N01 -> N13 -> N14 -> N05 -> N06 -> N03 -> N02
706,10.0,protocol_aware,945.793,3902.346,105.599,0,1,194.016,N09 -> N01 -> N07 -> N14 -> N05 -> N13 -> N10 -> N02 -> N04 -> N11 -> N12 -> N06 -> N03 -> N08
706,10.0,bounded_blackout,1004.411,3672.679,124.259,0,1,1378.111,N08 -> N03 -> N06 -> N09 -> N12 -> N14 -> N05 -> N07 -> N01 -> N13 -> N02 -> N04 -> N10 -> N11
706,20.0,distance_only,1047.152,2614.178,100.276,0,1,0.022,N08 -> N04 -> N11 -> N09 -> N07 -> N12 -> N10 -> N01 -> N13 -> N14 -> N05 -> N06 -> N03 -> N02
706,20.0,protocol_aware,1223.997,3902.346,138.217,0,1,194.016,N09 -> N01 -> N07 -> N14 -> N05 -> N13 -> N10 -> N02 -> N04 -> N11 -> N12 -> N06 -> N03 -> N08
706,20.0,bounded_blackout,1085.157,3672.679,111.374,0,1,1378.111,N08 -> N03 -> N06 -> N09 -> N12 -> N14 -> N05 -> N07 -> N01 -> N13 -> N02 -> N04 -> N10 -> N11
